X (Grid)	Y (Grid)	X (m)	Y (m)	Data
0	99	2	2	0
1	99	6	2	0
2	99	10	2	0
3	99	14	2	0
4	99	18	2	0
5	99	22	2	0
6	99	26	2	0
7	99	30	2	0
8	99	34	2	0
9	99	38	2	0
10	99	42	2	0
11	99	46	2	0
12	99	50	2	0
13	99	54	2	0
14	99	58	2	0
15	99	62	2	0
16	99	66	2	0
17	99	70	2	0
18	99	74	2	0
19	99	78	2	0
20	99	82	2	0
21	99	86	2	0
22	99	90	2	0
23	99	94	2	0
24	99	98	2	0
25	99	102	2	0
26	99	106	2	0
27	99	110	2	0
28	99	114	2	0
29	99	118	2	0
30	99	122	2	0
31	99	126	2	0
32	99	130	2	0
33	99	134	2	0
34	99	138	2	0
35	99	142	2	0
36	99	146	2	0
37	99	150	2	0
38	99	154	2	0
39	99	158	2	0
40	99	162	2	0
41	99	166	2	0
42	99	170	2	0
43	99	174	2	0
44	99	178	2	0
45	99	182	2	0
46	99	186	2	0
47	99	190	2	0
48	99	194	2	0
49	99	198	2	0
50	99	202	2	0
51	99	206	2	0
52	99	210	2	0
53	99	214	2	0
54	99	218	2	0
55	99	222	2	0
56	99	226	2	0
57	99	230	2	0
58	99	234	2	0
59	99	238	2	0
60	99	242	2	0
61	99	246	2	0
62	99	250	2	0
63	99	254	2	0
64	99	258	2	0
65	99	262	2	0
66	99	266	2	0
67	99	270	2	0
68	99	274	2	0
69	99	278	2	0
70	99	282	2	0
71	99	286	2	0
72	99	290	2	0
73	99	294	2	0
74	99	298	2	0
75	99	302	2	0
76	99	306	2	0
77	99	310	2	0
78	99	314	2	0
79	99	318	2	0
80	99	322	2	0
81	99	326	2	0
82	99	330	2	0
83	99	334	2	0
84	99	338	2	0
85	99	342	2	0
86	99	346	2	0
87	99	350	2	0
88	99	354	2	0
89	99	358	2	0
90	99	362	2	0
91	99	366	2	0
92	99	370	2	0
93	99	374	2	0
94	99	378	2	0
95	99	382	2	0
96	99	386	2	0
97	99	390	2	0
98	99	394	2	0
99	99	398	2	0
0	98	2	6	0
1	98	6	6	0
2	98	10	6	0
3	98	14	6	0
4	98	18	6	0
5	98	22	6	0
6	98	26	6	0
7	98	30	6	0
8	98	34	6	0
9	98	38	6	0
10	98	42	6	0
11	98	46	6	0
12	98	50	6	0
13	98	54	6	0
14	98	58	6	0
15	98	62	6	0
16	98	66	6	0
17	98	70	6	0
18	98	74	6	0
19	98	78	6	0
20	98	82	6	0
21	98	86	6	0
22	98	90	6	0
23	98	94	6	0
24	98	98	6	0
25	98	102	6	0
26	98	106	6	0
27	98	110	6	0
28	98	114	6	0
29	98	118	6	0
30	98	122	6	0
31	98	126	6	0
32	98	130	6	0
33	98	134	6	0
34	98	138	6	0
35	98	142	6	0
36	98	146	6	0
37	98	150	6	0
38	98	154	6	0
39	98	158	6	0
40	98	162	6	0
41	98	166	6	0
42	98	170	6	0
43	98	174	6	0
44	98	178	6	0
45	98	182	6	0
46	98	186	6	0
47	98	190	6	0
48	98	194	6	0
49	98	198	6	0
50	98	202	6	0
51	98	206	6	0
52	98	210	6	0
53	98	214	6	0
54	98	218	6	0
55	98	222	6	0
56	98	226	6	0
57	98	230	6	0
58	98	234	6	0
59	98	238	6	0
60	98	242	6	0
61	98	246	6	0
62	98	250	6	0
63	98	254	6	0
64	98	258	6	0
65	98	262	6	0
